year,学院,专业,city,count
2006,人文与艺术学院,文化市场经营与管理,台州市,4
2006,人文与艺术学院,文化市场经营与管理,嘉兴市,8
2006,人文与艺术学院,文化市场经营与管理,宁波市,12
2006,人文与艺术学院,文化市场经营与管理,杭州市,3
2006,人文与艺术学院,文化市场经营与管理,温州市,5
2006,人文与艺术学院,文化市场经营与管理,绍兴市,7
2006,人文与艺术学院,文化市场经营与管理,舟山市,2
2006,人文与艺术学院,文化市场经营与管理,衢州市,3
2006,人文与艺术学院,文化市场经营与管理,金华市,9
2006,人文与艺术学院,文秘,丽水市,3
2006,人文与艺术学院,文秘,台州市,7
2006,人文与艺术学院,文秘,嘉兴市,4
2006,人文与艺术学院,文秘,宁波市,22
2006,人文与艺术学院,文秘,杭州市,12
2006,人文与艺术学院,文秘,温州市,6
2006,人文与艺术学院,文秘,湖州市,2
2006,人文与艺术学院,文秘,绍兴市,12
2006,人文与艺术学院,文秘,舟山市,5
2006,人文与艺术学院,文秘,衢州市,1
2006,人文与艺术学院,文秘,金华市,3
2006,人文与艺术学院,汉语言文学,上饶市,2
2006,人文与艺术学院,汉语言文学,嘉兴市,2
2006,人文与艺术学院,汉语言文学,宁波市,13
2006,人文与艺术学院,汉语言文学,杭州市,3
2006,人文与艺术学院,汉语言文学,武汉市,1
2006,人文与艺术学院,汉语言文学,温州市,1
2006,人文与艺术学院,汉语言文学,湖州市,1
2006,人文与艺术学院,汉语言文学,绍兴市,3
2006,人文与艺术学院,汉语言文学,襄樊市,1
2006,人文与艺术学院,汉语言文学,金华市,2
2006,人文与艺术学院,汉语言文学,鹰潭市,1
2006,国际交流学院,国际商务,丽水市,1
2006,国际交流学院,国际商务,台州市,9
2006,国际交流学院,国际商务,嘉兴市,1
2006,国际交流学院,国际商务,宁波市,29
2006,国际交流学院,国际商务,杭州市,9
2006,国际交流学院,国际商务,温州市,14
2006,国际交流学院,国际商务,湖州市,2
2006,国际交流学院,国际商务,绍兴市,8
2006,国际交流学院,国际商务,舟山市,1
2006,国际交流学院,国际商务,衢州市,3
2006,国际交流学院,国际商务,金华市,6
2006,外国语学院,应用英语,丽水市,6
2006,外国语学院,应用英语,台州市,11
2006,外国语学院,应用英语,嘉兴市,9
2006,外国语学院,应用英语,宁波市,55
2006,外国语学院,应用英语,杭州市,8
2006,外国语学院,应用英语,温州市,25
2006,外国语学院,应用英语,湖州市,3
2006,外国语学院,应用英语,绍兴市,32
2006,外国语学院,应用英语,舟山市,2
2006,外国语学院,应用英语,衢州市,1
2006,外国语学院,应用英语,金华市,13
2006,外国语学院,德语,台州市,1
2006,外国语学院,德语,嘉兴市,2
2006,外国语学院,德语,宁波市,4
2006,外国语学院,德语,杭州市,4
2006,外国语学院,德语,温州市,1
2006,外国语学院,德语,湖州市,2
2006,外国语学院,德语,绍兴市,2
2006,外国语学院,德语,金华市,7
2006,外国语学院,日语,嘉兴市,1
2006,外国语学院,日语,宁波市,5
2006,外国语学院,日语,杭州市,2
2006,外国语学院,日语,温州市,2
2006,外国语学院,日语,湖州市,1
2006,外国语学院,日语,绍兴市,7
2006,外国语学院,日语,舟山市,1
2006,外国语学院,日语,衢州市,1
2006,外国语学院,日语,金华市,2
2006,外国语学院,英语,丽水市,1
2006,外国语学院,英语,乐山市,1
2006,外国语学院,英语,嘉兴市,5
2006,外国语学院,英语,宁波市,18
2006,外国语学院,英语,成都市,2
2006,外国语学院,英语,杭州市,3
2006,外国语学院,英语,泰州市,2
2006,外国语学院,英语,温州市,1
2006,外国语学院,英语,湛江市,1
2006,外国语学院,英语,绍兴市,10
2006,外国语学院,英语,舟山市,2
2006,外国语学院,英语,苏州市,1
2006,外国语学院,英语,茂名市,1
2006,外国语学院,英语,衢州市,2
2006,外国语学院,英语,金华市,3
2006,外国语学院,英语,雅安市,1
2006,建筑与交通工程学院,土木工程,丽水市,3
2006,建筑与交通工程学院,土木工程,台州市,1
2006,建筑与交通工程学院,土木工程,咸宁市,1
2006,建筑与交通工程学院,土木工程,嘉兴市,2
2006,建筑与交通工程学院,土木工程,宁波市,15
2006,建筑与交通工程学院,土木工程,杭州市,11
2006,建筑与交通工程学院,土木工程,温州市,2
2006,建筑与交通工程学院,土木工程,湖州市,3
2006,建筑与交通工程学院,土木工程,绍兴市,10
2006,建筑与交通工程学院,土木工程,芜湖市,1
2006,建筑与交通工程学院,土木工程,荆州市,1
2006,建筑与交通工程学院,土木工程,衢州市,1
2006,建筑与交通工程学院,土木工程,金华市,4
2006,建筑与交通工程学院,土木工程,黄山市,1
2006,建筑与交通工程学院,建筑工程技术,丽水市,1
2006,建筑与交通工程学院,建筑工程技术,台州市,3
2006,建筑与交通工程学院,建筑工程技术,嘉兴市,1
2006,建筑与交通工程学院,建筑工程技术,宁波市,11
2006,建筑与交通工程学院,建筑工程技术,杭州市,11
2006,建筑与交通工程学院,建筑工程技术,温州市,8
2006,建筑与交通工程学院,建筑工程技术,湖州市,2
2006,建筑与交通工程学院,建筑工程技术,绍兴市,20
2006,建筑与交通工程学院,建筑工程技术,舟山市,1
2006,建筑与交通工程学院,建筑工程技术,衢州市,2
2006,建筑与交通工程学院,建筑工程技术,金华市,4
2006,建筑与交通工程学院,建筑环境与设备工程,丽水市,1
2006,建筑与交通工程学院,建筑环境与设备工程,台州市,2
2006,建筑与交通工程学院,建筑环境与设备工程,嘉兴市,2
2006,建筑与交通工程学院,建筑环境与设备工程,宁波市,15
2006,建筑与交通工程学院,建筑环境与设备工程,杭州市,5
2006,建筑与交通工程学院,建筑环境与设备工程,温州市,1
2006,建筑与交通工程学院,建筑环境与设备工程,湖州市,1
2006,建筑与交通工程学院,建筑环境与设备工程,绍兴市,7
2006,建筑与交通工程学院,建筑环境与设备工程,衢州市,1
2006,建筑与交通工程学院,建筑环境与设备工程,金华市,8
2006,建筑与交通工程学院,建筑装饰工程技术,台州市,1
2006,建筑与交通工程学院,建筑装饰工程技术,嘉兴市,2
2006,建筑与交通工程学院,建筑装饰工程技术,宁波市,12
2006,建筑与交通工程学院,建筑装饰工程技术,杭州市,6
2006,建筑与交通工程学院,建筑装饰工程技术,温州市,5
2006,建筑与交通工程学院,建筑装饰工程技术,湖州市,5
2006,建筑与交通工程学院,建筑装饰工程技术,绍兴市,9
2006,建筑与交通工程学院,建筑装饰工程技术,舟山市,1
2006,建筑与交通工程学院,建筑装饰工程技术,金华市,4
2006,建筑与交通工程学院,建筑设备工程技术,丽水市,2
2006,建筑与交通工程学院,建筑设备工程技术,台州市,3
2006,建筑与交通工程学院,建筑设备工程技术,嘉兴市,1
2006,建筑与交通工程学院,建筑设备工程技术,宁波市,13
2006,建筑与交通工程学院,建筑设备工程技术,杭州市,1
2006,建筑与交通工程学院,建筑设备工程技术,温州市,9
2006,建筑与交通工程学院,建筑设备工程技术,湖州市,1
2006,建筑与交通工程学院,建筑设备工程技术,绍兴市,14
2006,建筑与交通工程学院,建筑设备工程技术,舟山市,1
2006,建筑与交通工程学院,建筑设备工程技术,衢州市,2
2006,建筑与交通工程学院,建筑设备工程技术,金华市,7
2006,建筑与交通工程学院,物流管理,丽水市,8
2006,建筑与交通工程学院,物流管理,台州市,3
2006,建筑与交通工程学院,物流管理,嘉兴市,7
2006,建筑与交通工程学院,物流管理,宁波市,40
2006,建筑与交通工程学院,物流管理,杭州市,13
2006,建筑与交通工程学院,物流管理,温州市,9
2006,建筑与交通工程学院,物流管理,湖州市,3
2006,建筑与交通工程学院,物流管理,绍兴市,22
2006,建筑与交通工程学院,物流管理,舟山市,7
2006,建筑与交通工程学院,物流管理,衢州市,5
2006,建筑与交通工程学院,物流管理,金华市,13
2006,建筑与交通工程学院,道路桥梁工程技术,丽水市,2
2006,建筑与交通工程学院,道路桥梁工程技术,台州市,5
2006,建筑与交通工程学院,道路桥梁工程技术,嘉兴市,3
2006,建筑与交通工程学院,道路桥梁工程技术,宁波市,16
2006,建筑与交通工程学院,道路桥梁工程技术,杭州市,2
2006,建筑与交通工程学院,道路桥梁工程技术,湖州市,3
2006,建筑与交通工程学院,道路桥梁工程技术,绍兴市,13
2006,建筑与交通工程学院,道路桥梁工程技术,舟山市,1
2006,建筑与交通工程学院,道路桥梁工程技术,衢州市,5
2006,建筑与交通工程学院,道路桥梁工程技术,金华市,3
2006,机械工程学院,交通运输(机械),429000市,1
2006,机械工程学院,交通运输(机械),上饶市,1
2006,机械工程学院,交通运输(机械),乐山市,1
2006,机械工程学院,交通运输(机械),九江市,1
2006,机械工程学院,交通运输(机械),十堰市,1
2006,机械工程学院,交通运输(机械),台州市,1
2006,机械工程学院,交通运输(机械),吉安市,1
2006,机械工程学院,交通运输(机械),周口市,1
2006,机械工程学院,交通运输(机械),嘉兴市,1
2006,机械工程学院,交通运输(机械),宁波市,5
2006,机械工程学院,交通运输(机械),杭州市,3
2006,机械工程学院,交通运输(机械),武汉市,1
2006,机械工程学院,交通运输(机械),温州市,2
2006,机械工程学院,交通运输(机械),湖州市,1
2006,机械工程学院,交通运输(机械),绍兴市,1
2006,机械工程学院,交通运输(机械),舟山市,2
2006,机械工程学院,交通运输(机械),衢州市,1
2006,机械工程学院,交通运输(机械),襄樊市,1
2006,机械工程学院,交通运输(机械),金华市,2
2006,机械工程学院,机械设计制造及其自动化,台州市,2
2006,机械工程学院,机械设计制造及其自动化,宁波市,7
2006,机械工程学院,机械设计制造及其自动化,杭州市,5
2006,机械工程学院,机械设计制造及其自动化,枣庄市,1
2006,机械工程学院,机械设计制造及其自动化,泸州市,2
2006,机械工程学院,机械设计制造及其自动化,淄博市,1
2006,机械工程学院,机械设计制造及其自动化,温州市,2
2006,机械工程学院,机械设计制造及其自动化,湖州市,1
2006,机械工程学院,机械设计制造及其自动化,潍坊市,2
2006,机械工程学院,机械设计制造及其自动化,绍兴市,3
2006,机械工程学院,机电一体化技术,丽水市,2
2006,机械工程学院,机电一体化技术,台州市,5
2006,机械工程学院,机电一体化技术,嘉兴市,1
2006,机械工程学院,机电一体化技术,宁波市,23
2006,机械工程学院,机电一体化技术,杭州市,4
2006,机械工程学院,机电一体化技术,温州市,14
2006,机械工程学院,机电一体化技术,绍兴市,8
2006,机械工程学院,机电一体化技术,舟山市,1
2006,机械工程学院,机电一体化技术,衢州市,2
2006,机械工程学院,机电一体化技术,金华市,3
2006,机械工程学院,材料成型及控制工程,台州市,1
2006,机械工程学院,材料成型及控制工程,宁波市,15
2006,机械工程学院,材料成型及控制工程,杭州市,3
2006,机械工程学院,材料成型及控制工程,温州市,2
2006,机械工程学院,材料成型及控制工程,绍兴市,2
2006,机械工程学院,材料成型及控制工程,金华市,4
2006,机械工程学院,模具设计与制造,丽水市,3
2006,机械工程学院,模具设计与制造,台州市,8
2006,机械工程学院,模具设计与制造,嘉兴市,3
2006,机械工程学院,模具设计与制造,宁波市,24
2006,机械工程学院,模具设计与制造,杭州市,8
2006,机械工程学院,模具设计与制造,温州市,8
